path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",7,14.3431,14.3743,0.7044
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",7,12.4349,12.4007,0.7222
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",7,0.1148,0.1109,0.0104
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",7,9.0219,9.0028,0.217
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",7,7.9317,7.9055,0.1698
model.2,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,6640,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 120, 160]]",7,30.596,30.2527,1.1082
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",7,6.6312,6.56,0.1253
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",7,5.5063,5.5067,0.2595
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,3200,,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",7,15.884,15.6372,0.9992
model.2.cv2.conv,766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,3072,58982400,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",7,13.5882,13.8189,0.374
