config_id,class,config_json,input_kind,input_shapes,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 3, 480, 640]]",2.024,161,12.3097,4.347416,2.929578,36.062083,55.4,57.6,2400030464,2400027136,264,False,,
721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",tensor,"[[1, 16, 240, 320]]",2.022,1025,1.9295,5.07406,3.656221,7.054553,58.7,60.4,2400030464,2400020480,365,False,,
5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 16, 240, 320]]",2.029,264,7.5217,4.082442,2.664603,20.04242,60.9,60.4,2400027136,2400027136,281,False,,
a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 32, 120, 160]]",2.027,400,4.9498,3.875617,2.457778,12.165616,59.8,59.8,2400020480,2400023808,332,False,,
766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 48, 120, 160]]",2.023,159,12.4371,4.515552,3.097713,38.526561,59.8,59.3,2400023808,2400017408,319,False,,
e934310951000623,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 16, 120, 160]]",2.022,1029,1.9254,4.62742,3.209581,6.179753,58.7,63.1,2400030464,2400027136,356,False,,
ffc6121a7de1ac0e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 8, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 8, 120, 160]]",2.022,824,2.403,4.091224,2.673386,6.424054,60.4,62.6,2400027136,2400033792,389,False,,
d33f342ed0013fe8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 64, 60, 80]]",2.023,1021,1.937,5.290749,3.87291,7.501755,60.9,62.6,2400030464,2400020480,356,False,,
8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 64, 15, 20]]",2.024,23513,0.0842,4.876757,3.458919,0.291089,61.5,63.7,2400023808,2400020480,490,False,,
74724123eebe9ad5,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 96, 60, 80]]",2.025,384,5.1525,4.07911,2.661271,13.712092,62.6,60.9,2400023808,2400023808,365,False,,
