path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",5,15.7017,15.3438,1.1319
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",5,13.4456,13.2756,0.9985
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",5,0.1136,0.1081,0.0094
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",5,9.6716,8.7276,2.1253
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",5,8.4756,7.8252,1.6303
model.2,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,6640,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 120, 160]]",5,31.7895,30.5957,2.0904
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",5,6.7051,6.7143,0.0968
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",5,5.5773,5.6646,0.1543
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,3200,,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",5,16.216,15.8672,0.8524
model.2.cv2.conv,766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,3072,58982400,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",5,14.0529,13.7033,0.6564
model.2.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,2352,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",5,6.961,6.3973,1.091
model.2.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1168,,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",5,2.7429,2.5145,0.3526
model.2.m.0.cv1.conv,e934310951000623,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}",True,1152,22118400,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",5,2.2788,2.1643,0.2007
model.2.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1184,,tensor,"[[1, 8, 120, 160]]","[[1, 16, 120, 160]]",5,3.6465,3.3954,0.857
