path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",29,14.3329,14.2553,0.6463
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",29,12.344,12.3069,0.5014
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",29,0.1311,0.1071,0.0609
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",29,9.1735,8.9324,0.6006
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",29,8.1445,7.9369,0.5779
model.2,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,6640,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 120, 160]]",29,30.7323,30.0471,1.38
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",29,6.7228,6.7016,0.3237
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",29,5.704,5.6812,0.3224
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,3200,,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",29,16.0333,15.7551,0.8448
model.2.cv2.conv,766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,3072,58982400,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",29,14.0085,13.8026,0.6939
model.2.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,2352,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",29,6.6904,6.5839,0.5116
model.2.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1168,,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",29,2.6882,2.5373,0.3001
model.2.m.0.cv1.conv,e934310951000623,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}",True,1152,22118400,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",29,2.2659,2.1987,0.2333
model.2.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1184,,tensor,"[[1, 8, 120, 160]]","[[1, 16, 120, 160]]",29,3.4255,3.4152,0.5641
