config_id,class,config_json,input_kind,input_shapes,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 3, 480, 640]]",3.025,245,12.1758,4.42564,2.96332,36.080885,59.8,62.0,2400020480,2400023808,400,False,,
721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",tensor,"[[1, 16, 240, 320]]",3.029,1533,1.9408,5.133514,3.671195,7.124953,61.5,64.8,2400033792,2400020480,540,False,,
5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 16, 240, 320]]",3.027,396,7.5289,4.2394,2.777081,20.908475,64.8,63.1,2400020480,2400023808,420,False,,
a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 32, 120, 160]]",3.025,597,4.9903,3.965406,2.503087,12.491047,62.6,62.6,2400033792,2400030464,488,False,,
766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 48, 120, 160]]",3.027,237,12.5789,4.55033,3.088011,38.84376,62.0,62.0,2400037120,2400027136,468,False,,
e934310951000623,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 16, 120, 160]]",3.03,1568,1.8981,4.71897,3.256651,6.181469,62.6,64.8,2400033792,2400023808,550,False,,
ffc6121a7de1ac0e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 8, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 8, 120, 160]]",3.021,1229,2.4238,4.177834,2.715515,6.581735,63.7,65.9,2400020480,2400020480,570,False,,
d33f342ed0013fe8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}",tensor,"[[1, 64, 60, 80]]",3.022,1498,1.9896,5.464745,4.002425,7.963027,64.8,65.9,2400020480,2400033792,560,False,,
8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 64, 15, 20]]",3.021,36291,0.0821,4.995953,3.533633,0.290011,63.1,64.8,2400027136,2400023808,725,False,,
74724123eebe9ad5,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",tensor,"[[1, 96, 60, 80]]",3.028,579,5.1497,4.155001,2.692681,13.866594,64.2,65.9,2400027136,2400033792,538,False,,
04290e6ccde316eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 32, 60, 80]]",3.022,2940,1.0136,5.068941,3.606621,3.65566,64.2,67.0,2400030464,2400033792,571,False,,
58db6d670a6061c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",tensor,"[[1, 16, 60, 80]]",3.023,2112,1.4102,5.339292,3.876972,5.467312,65.3,65.9,2400023808,2400023808,574,False,,
