path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",29,14.6036,14.5019,0.8508
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",29,12.4511,12.4202,0.5633
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",29,0.1173,0.1099,0.0148
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",29,9.1077,8.981,0.5869
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",29,8.0921,7.9314,0.5642
model.2,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,6640,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 120, 160]]",29,30.5035,30.1817,1.0758
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",29,6.7197,6.6845,0.4027
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",29,5.6604,5.6566,0.3662
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,3200,,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",29,15.7359,15.5699,0.6044
model.2.cv2.conv,766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,3072,58982400,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",29,13.676,13.5585,0.4499
model.2.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,2352,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",29,6.7032,6.5843,0.3905
model.2.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1168,,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",29,2.6621,2.5242,0.2899
model.2.m.0.cv1.conv,e934310951000623,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}",True,1152,22118400,tensor,"[[1, 16, 120, 160]]","[[1, 8, 120, 160]]",29,2.2316,2.1649,0.211
model.2.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1184,,tensor,"[[1, 8, 120, 160]]","[[1, 16, 120, 160]]",29,3.4656,3.4381,0.4674
model.2.m.0.cv2.conv,ffc6121a7de1ac0e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 8, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",True,1152,22118400,tensor,"[[1, 8, 120, 160]]","[[1, 16, 120, 160]]",29,2.9223,2.8676,0.4668
model.3,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 120, 160]]","[[1, 64, 60, 80]]",29,9.231,8.6488,1.9881
model.3.conv,d33f342ed0013fe8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}",True,36864,176947200,tensor,"[[1, 64, 120, 160]]","[[1, 64, 60, 80]]",29,8.6394,8.023,1.9765
model.4,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,26080,,tensor,"[[1, 64, 60, 80]]","[[1, 128, 60, 80]]",29,15.9564,15.0618,3.7198
model.4.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4224,,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",29,3.7972,3.6248,0.9347
model.4.cv1.conv,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4096,19660800,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",29,3.2054,3.0336,0.8862
model.4.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,12544,,tensor,"[[1, 96, 60, 80]]","[[1, 128, 60, 80]]",29,7.5816,7.2895,1.332
model.4.cv2.conv,74724123eebe9ad5,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,12288,58982400,tensor,"[[1, 96, 60, 80]]","[[1, 128, 60, 80]]",29,6.3961,5.9501,1.1294
model.4.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,9312,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",29,3.8643,3.6545,1.4433
model.4.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4640,,tensor,"[[1, 32, 60, 80]]","[[1, 16, 60, 80]]",29,1.7714,1.5452,0.6043
model.4.m.0.cv1.conv,04290e6ccde316eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",True,4608,22118400,tensor,"[[1, 32, 60, 80]]","[[1, 16, 60, 80]]",29,1.5291,1.2761,0.5365
model.4.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 60, 80]]","[[1, 32, 60, 80]]",29,1.8256,1.6099,0.8439
model.4.m.0.cv2.conv,58db6d670a6061c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,4608,22118400,tensor,"[[1, 16, 60, 80]]","[[1, 32, 60, 80]]",29,1.4543,1.3049,0.7024
model.5,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,147712,,tensor,"[[1, 128, 60, 80]]","[[1, 128, 30, 40]]",29,6.5068,5.7824,2.1318
model.5.conv,4b4c3f50477a05c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [2, 2]}",True,147456,176947200,tensor,"[[1, 128, 60, 80]]","[[1, 128, 30, 40]]",29,6.0906,5.478,1.969
model.6,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,87040,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",29,12.1821,10.6862,5.0607
model.6.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,16640,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",29,1.9688,1.6323,1.1167
model.6.cv1.conv,347e13f415663a02,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16384,19660800,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",29,1.6289,1.3438,1.006
model.6.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,24832,,tensor,"[[1, 192, 30, 40]]","[[1, 128, 30, 40]]",29,2.7101,2.6501,0.8732
model.6.cv2.conv,f89ca271fc1e6775,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 192, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,24576,29491200,tensor,"[[1, 192, 30, 40]]","[[1, 128, 30, 40]]",29,2.3243,2.3192,0.7968
model.6.m.0,e371addf8e0cb08a,C3k,"{""class"": ""C3k""}",False,45568,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",29,6.9892,5.9506,3.3797
model.6.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2112,,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",29,0.989,0.7954,0.6137
model.6.m.0.cv1.conv,4dcd5e71e363bf00,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,2048,2457600,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",29,0.7875,0.6425,0.533
model.6.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2112,,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",29,0.8766,0.629,0.9659
model.6.m.0.cv2.conv,4dcd5e71e363bf00,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,2048,2457600,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",29,0.5647,0.4968,0.2384
model.6.m.0.cv3,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4224,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",29,1.0505,0.7638,0.8061
model.6.m.0.cv3.conv,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4096,4915200,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",29,0.8149,0.5855,0.6882
