path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",5,14.9214,14.672,0.7602
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",5,12.875,12.5422,0.8882
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",5,0.1644,0.1218,0.0894
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",5,9.8448,9.2017,1.0087
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",5,8.8485,8.1894,1.0233
model.2,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,6640,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 120, 160]]",5,30.6138,30.3895,0.9297
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",5,6.6057,6.6427,0.2104
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",5,5.6134,5.7227,0.2003
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,3200,,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",5,15.7134,15.7909,0.1562
model.2.cv2.conv,766b4948e73bfddf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,3072,58982400,tensor,"[[1, 48, 120, 160]]","[[1, 64, 120, 160]]",5,13.5893,13.5403,0.1423
